"CompareValidate","SegmentName","RSIDCleanName","Dimension1","Dimension1Item","Dimension2","Dimension2Item"
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_01: Oddspediacom - UserAgent = Mozilla/50 (Linux; Android 71; LEX620) AppleWebKit/53736 (KHTML, like Gecko) Chrome/106000 Mobile Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (Linux; Android 7.1; LEX620) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_02: Oddspediacom - MobileManufacturer = LeEco","Oddspediacom","MobileManufacturer","LeEco","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_03: Oddspediacom - Domain = angolatelecomao","Oddspediacom","Domain","angolatelecom.ao","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_04: Oddspediacom - MonitorResolution = 3200x1728","Oddspediacom","MonitorResolution","3200x1728","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_05: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML,  like Gecko) Chrome/139000 Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_06: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML,  like Gecko) Chrome/120000 Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_07: Oddspediacom - MonitorResolution = 2560 x 1440","Oddspediacom","MonitorResolution","2560 x 1440","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_08: Oddspediacom - Domain = zappiehostcom","Oddspediacom","Domain","zappiehost.com","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_09: Oddspediacom - UserAgent = Mozilla/50 (X11; Linux x86_64) AppleWebKit/53736 (KHTML, like Gecko) HeadlessChrome/1200609928 Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/120.0.6099.28 Safari/537.36","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_10: Oddspediacom - Domain = hosted-by-worldstreamnet","Oddspediacom","Domain","hosted-by-worldstream.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_11: Oddspediacom - Domain = hostoffnet","Oddspediacom","Domain","hostoff.net","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_12: Oddspediacom - UserAgent = Mozilla/50 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605115 (KHTML,  like Gecko) Version/1566 Mobile/15E148 Safari/6041","Oddspediacom","UserAgent","Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.6 Mobile/15E148 Safari/604.1","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_13: Oddspediacom - MonitorResolution = 1920 x 1200","Oddspediacom","MonitorResolution","1920 x 1200","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_14: Oddspediacom - Domain = comvn","Oddspediacom","Domain","com.vn","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_15: Oddspediacom - UserAgent = Mozilla/50 (Windows NT 100; Win64; x64) AppleWebKit/53736 (KHTML, like Gecko) Chrome/121000 Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_16: Oddspediacom - Domain = khoangsanankhanhvn","Oddspediacom","Domain","khoangsanankhanh.vn","",""
"Compare","BOTCOMPARE_AdHoc-Oddspedia-Dec25_17: Oddspediacom - UserAgent = Mozilla/50 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/53736 (KHTML, like Gecko) Chrome/120000 Safari/53736","Oddspediacom","UserAgent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","",""
